,weight,height,label,predict,
177,0.46,0.68,normal,normal,
178,0.53,0.985,thin,thin,
179,0.74,0.905,normal,normal,
180,0.66,0.7,fat,fat,
181,0.4,0.72,normal,normal,
182,0.35,0.625,normal,normal,
183,0.41,0.865,thin,thin,
184,0.57,0.955,thin,thin,
185,0.43,0.985,thin,thin,
186,0.48,0.685,fat,fat,
187,0.71,0.635,fat,fat,
188,0.64,0.615,fat,fat,
189,0.78,0.95,normal,normal,
190,0.49,0.78,normal,normal,
191,0.67,0.675,fat,fat,
192,0.73,0.96,normal,normal,
193,0.62,0.83,normal,normal,
194,0.71,0.755,fat,fat,
195,0.58,0.855,normal,normal,
196,0.79,0.63,fat,fat,
197,0.45,0.765,normal,normal,
198,0.4,0.98,thin,thin,
199,0.73,0.605,fat,fat,
200,0.36,0.7,thin,normal,
201,0.47,0.605,fat,fat,
202,0.44,0.9,thin,thin,
203,0.79,0.76,fat,fat,
204,0.56,0.98,thin,thin,
205,0.71,0.89,normal,normal,
206,0.37,0.685,normal,normal,
207,0.47,0.685,fat,normal,
208,0.5,0.755,normal,normal,
209,0.57,0.9,thin,thin,
210,0.59,0.615,fat,fat,
211,0.45,0.905,thin,thin,
212,0.47,0.89,thin,thin,
213,0.45,0.67,fat,normal,
214,0.71,0.745,fat,fat,
215,0.58,0.67,fat,fat,
216,0.77,0.655,fat,fat,
217,0.38,0.82,thin,thin,
218,0.51,0.84,thin,thin,
219,0.79,0.98,normal,normal,
220,0.49,0.7,fat,normal,
221,0.62,0.86,normal,normal,
222,0.79,0.785,fat,fat,
223,0.4,0.665,normal,normal,
224,0.62,0.71,fat,fat,
225,0.6,0.645,fat,fat,
226,0.42,0.885,thin,thin,
227,0.44,1,thin,thin,
228,0.44,0.61,fat,fat,
229,0.56,0.875,thin,thin,
230,0.41,0.815,thin,thin,
231,0.56,0.78,normal,normal,
232,0.57,0.93,thin,thin,
233,0.8,0.945,normal,normal,
234,0.72,0.73,fat,fat,
235,0.79,0.815,fat,fat,
236,0.45,0.875,thin,thin,
237,0.74,0.76,fat,fat,
238,0.4,0.865,thin,thin,
239,0.39,0.925,thin,thin,
240,0.62,0.995,thin,thin,
241,0.7,0.805,fat,fat,
242,0.45,0.805,thin,thin,
243,0.49,0.91,thin,thin,
244,0.69,0.94,normal,normal,
245,0.77,0.985,normal,normal,
246,0.74,0.795,fat,fat,
247,0.58,0.665,fat,fat,
248,0.51,0.685,fat,fat,
249,0.72,0.8,fat,fat,
250,0.44,0.725,normal,normal,
251,0.54,1,thin,thin,
252,0.46,0.995,thin,thin,
253,0.68,0.845,normal,normal,
254,0.35,0.885,thin,thin,
255,0.63,0.98,thin,thin,
256,0.66,0.7,fat,fat,
257,0.42,0.955,thin,thin,
258,0.8,0.86,fat,fat,
259,0.38,0.955,thin,thin,
260,0.42,0.625,fat,fat,
261,0.62,0.72,fat,fat,
262,0.7,0.865,normal,normal,
263,0.58,0.775,normal,normal,
264,0.53,0.76,normal,normal,
265,0.41,0.88,thin,thin,
266,0.44,0.74,normal,normal,
267,0.35,0.93,thin,thin,
268,0.44,0.845,thin,thin,
269,0.77,0.975,normal,normal,
270,0.41,0.655,normal,normal,
271,0.64,0.71,fat,fat,
272,0.65,0.935,normal,normal,
273,0.63,0.775,fat,fat,
274,0.49,0.895,thin,thin,
275,0.44,0.785,thin,thin,
276,0.43,0.715,normal,normal,
277,0.54,0.625,fat,fat,
278,0.42,0.875,thin,thin,
279,0.37,0.615,normal,normal,
280,0.72,0.645,fat,fat,
281,0.53,0.88,thin,thin,
282,0.36,0.615,normal,normal,
283,0.76,0.61,fat,fat,
284,0.4,0.86,thin,thin,
285,0.53,0.635,fat,fat,
286,0.4,0.935,thin,thin,
287,0.61,0.945,thin,thin,
288,0.47,1,thin,thin,
289,0.45,0.99,thin,thin,
290,0.58,0.825,normal,normal,
291,0.66,0.675,fat,fat,
292,0.64,0.845,normal,normal,
293,0.57,0.965,thin,thin,
294,0.61,0.99,thin,thin,
295,0.43,0.625,fat,fat,
296,0.54,0.615,fat,fat,
297,0.54,0.605,fat,fat,
298,0.78,0.72,fat,fat,
299,0.8,0.635,fat,fat,
300,0.51,0.89,thin,thin,
301,0.55,0.605,fat,fat,
302,0.79,0.61,fat,fat,
303,0.57,0.845,normal,normal,
304,0.44,0.865,thin,thin,
305,0.65,0.855,normal,normal,
306,0.42,0.675,normal,normal,
307,0.6,0.925,thin,thin,
308,0.61,0.605,fat,fat,
309,0.5,0.915,thin,thin,
310,0.54,0.675,fat,fat,
311,0.55,0.765,normal,normal,
312,0.54,0.765,normal,normal,
313,0.77,0.98,normal,normal,
314,0.42,0.64,fat,fat,
315,0.51,0.665,fat,fat,
316,0.55,0.955,thin,thin,
317,0.74,0.66,fat,fat,
318,0.58,0.74,fat,fat,
319,0.58,0.89,thin,thin,
320,0.56,0.705,fat,fat,
321,0.62,0.6,fat,fat,
322,0.64,0.76,fat,fat,
323,0.56,0.785,normal,normal,
324,0.73,0.99,normal,normal,
325,0.8,0.63,fat,fat,
326,0.45,0.97,thin,thin,
327,0.59,0.805,normal,normal,
328,0.37,0.745,thin,thin,
329,0.38,0.875,thin,thin,
330,0.44,0.91,thin,thin,
331,0.74,0.7,fat,fat,
332,0.39,0.91,thin,thin,
333,0.4,0.78,thin,thin,
334,0.67,0.9,normal,normal,
335,0.71,0.925,normal,normal,
336,0.79,0.895,normal,normal,
337,0.43,0.94,thin,thin,
338,0.47,0.66,fat,fat,
339,0.47,0.895,thin,thin,
340,0.69,0.91,normal,normal,
341,0.51,0.775,normal,normal,
342,0.73,1,thin,normal,
343,0.75,0.72,fat,fat,
344,0.74,0.82,fat,fat,
345,0.47,0.635,fat,fat,
346,0.53,0.665,fat,fat,
347,0.38,0.675,normal,normal,
348,0.41,0.765,thin,thin,
349,0.66,0.95,thin,normal,
350,0.41,0.845,thin,thin,
351,0.57,0.625,fat,fat,
352,0.51,0.82,normal,normal,
353,0.58,0.79,normal,normal,
354,0.56,0.805,normal,normal,
355,0.54,0.96,thin,thin,
356,0.76,0.91,normal,normal,
357,0.35,0.83,thin,thin,
358,0.49,0.9,thin,thin,
359,0.39,0.775,thin,thin,
360,0.44,0.63,fat,fat,
361,0.7,0.91,normal,normal,
362,0.58,0.67,fat,fat,
363,0.77,0.635,fat,fat,
364,0.76,0.645,fat,fat,
365,0.65,0.835,normal,normal,
366,0.78,0.71,fat,fat,
367,0.77,0.805,fat,fat,
368,0.6,0.81,normal,normal,
369,0.52,0.845,thin,thin,
370,0.54,0.935,thin,thin,
371,0.66,0.775,fat,fat,
372,0.35,0.67,normal,normal,
373,0.53,0.99,thin,thin,
374,0.52,0.795,normal,normal,
375,0.65,0.67,fat,fat,
376,0.52,0.685,fat,fat,
377,0.41,0.67,normal,normal,
378,0.69,0.89,normal,normal,
379,0.53,0.965,thin,thin,
380,0.72,0.7,fat,fat,
381,0.69,0.915,normal,normal,
382,0.63,0.965,thin,thin,
383,0.54,0.685,fat,fat,
384,0.54,0.6,fat,fat,
385,0.53,0.72,fat,fat,
386,0.73,0.7,fat,fat,
387,0.48,0.985,thin,thin,
388,0.69,0.915,normal,normal,
389,0.73,0.62,fat,fat,
390,0.62,0.985,thin,thin,
391,0.42,0.935,thin,thin,
392,0.53,0.81,normal,normal,
393,0.39,0.64,normal,normal,
394,0.46,0.795,thin,thin,
395,0.64,0.725,fat,fat,
396,0.44,0.98,thin,thin,
397,0.76,0.8,fat,fat,
398,0.44,0.845,thin,thin,
399,0.8,0.86,fat,fat,
400,0.38,0.875,thin,thin,
401,0.52,0.64,fat,fat,
402,0.38,0.875,thin,thin,
403,0.46,0.9,thin,thin,
404,0.56,0.96,thin,thin,
405,0.62,0.93,thin,thin,
406,0.46,0.66,fat,fat,
407,0.43,0.665,normal,normal,
408,0.56,0.78,normal,normal,
409,0.78,0.87,fat,fat,
410,0.58,0.765,normal,normal,
411,0.74,0.75,fat,fat,
412,0.42,0.985,thin,thin,
413,0.79,0.765,fat,fat,
414,0.46,0.94,thin,thin,
415,0.77,0.995,normal,normal,
416,0.59,0.995,thin,thin,
417,0.59,0.785,normal,normal,
418,0.39,0.6,fat,fat,
419,0.53,0.895,thin,thin,
420,0.54,0.825,normal,normal,
421,0.4,0.87,thin,thin,
422,0.38,0.795,thin,thin,
423,0.53,0.94,thin,thin,
424,0.42,0.91,thin,thin,
425,0.71,0.63,fat,fat,
426,0.67,0.695,fat,fat,
427,0.48,0.715,normal,normal,
428,0.65,0.86,normal,normal,
429,0.53,0.875,thin,thin,
430,0.56,0.705,fat,fat,
431,0.48,0.82,thin,thin,
432,0.65,0.93,normal,normal,
433,0.61,0.935,thin,thin,
434,0.67,0.67,fat,fat,
435,0.58,0.67,fat,fat,
436,0.56,0.98,thin,thin,
437,0.53,0.865,thin,thin,
438,0.66,0.975,thin,thin,
439,0.39,0.895,thin,thin,
440,0.7,0.945,normal,normal,
441,0.39,0.68,normal,normal,
442,0.52,0.925,thin,thin,
443,0.68,0.865,normal,normal,
444,0.5,0.875,thin,thin,
445,0.39,0.97,thin,thin,
446,0.56,0.83,normal,normal,
447,0.48,0.675,fat,fat,
448,0.41,0.88,thin,thin,
449,0.76,0.83,fat,fat,
450,0.68,0.815,fat,fat,
451,0.73,0.81,fat,fat,
452,0.39,0.67,normal,normal,
453,0.7,0.67,fat,fat,
454,0.54,0.83,normal,normal,
455,0.63,0.86,normal,normal,
456,0.61,0.71,fat,fat,
457,0.55,0.98,thin,thin,
458,0.61,0.84,normal,normal,
459,0.72,0.94,normal,normal,
460,0.58,0.87,normal,normal,
461,0.61,0.615,fat,fat,
462,0.51,0.615,fat,fat,
463,0.7,0.635,fat,fat,
464,0.69,0.645,fat,fat,
465,0.58,0.795,normal,normal,
466,0.53,0.75,normal,normal,
467,0.71,0.94,normal,normal,
468,0.41,0.865,thin,thin,
469,0.7,0.86,normal,normal,
470,0.5,0.93,thin,thin,
471,0.7,0.675,fat,fat,
472,0.47,0.77,normal,normal,
473,0.5,0.92,thin,thin,
474,0.8,0.99,normal,normal,
475,0.79,0.85,fat,fat,
476,0.59,0.68,fat,fat,
477,0.42,0.745,normal,normal,
478,0.69,0.905,normal,normal,
479,0.63,0.985,thin,thin,
480,0.52,0.705,fat,fat,
481,0.79,0.82,fat,fat,
482,0.54,0.79,normal,normal,
483,0.57,0.905,thin,thin,
484,0.45,0.75,normal,normal,
485,0.55,0.6,fat,fat,
486,0.56,0.705,fat,fat,
487,0.73,0.635,fat,fat,
488,0.7,0.945,normal,normal,
489,0.39,0.61,fat,fat,
490,0.42,0.66,normal,normal,
491,0.63,0.92,normal,normal,
492,0.48,0.625,fat,fat,
493,0.41,0.73,normal,normal,
494,0.41,0.65,normal,normal,
495,0.68,0.645,fat,fat,
496,0.57,1,thin,thin,
497,0.47,0.89,thin,thin,
498,0.35,0.69,thin,normal,
499,0.72,0.81,fat,fat,
500,0.78,0.895,normal,normal,
501,0.55,0.725,fat,fat,
502,0.62,0.625,fat,fat,
503,0.61,0.645,fat,fat,
504,0.4,0.825,thin,thin,
505,0.48,0.765,normal,normal,
506,0.53,0.825,normal,normal,
507,0.7,0.7,fat,fat,
508,0.43,0.845,thin,thin,
509,0.62,0.63,fat,fat,
510,0.67,0.735,fat,fat,
511,0.64,0.885,normal,normal,
512,0.8,0.695,fat,fat,
513,0.62,0.65,fat,fat,
514,0.71,0.73,fat,fat,
515,0.73,0.78,fat,fat,
516,0.67,0.715,fat,fat,
517,0.78,0.76,fat,fat,
518,0.41,0.695,normal,normal,
519,0.67,0.74,fat,fat,
520,0.73,0.655,fat,fat,
521,0.7,0.63,fat,fat,
522,0.36,0.975,thin,thin,
523,0.42,0.895,thin,thin,
524,0.64,0.875,normal,normal,
525,0.64,0.84,normal,normal,
526,0.79,0.98,normal,normal,
527,0.39,0.655,normal,normal,
528,0.8,0.82,fat,fat,
529,0.68,0.84,normal,normal,
530,0.49,0.76,normal,normal,
531,0.66,0.775,fat,fat,
532,0.5,0.885,thin,thin,
533,0.78,0.72,fat,fat,
534,0.4,0.915,thin,thin,
535,0.79,0.685,fat,fat,
536,0.78,0.915,normal,normal,
537,0.62,0.74,fat,fat,
538,0.67,0.86,normal,normal,
539,0.56,0.75,normal,normal,
540,0.67,0.87,normal,normal,
541,0.76,0.64,fat,fat,
542,0.45,0.975,thin,thin,
543,0.61,0.63,fat,fat,
544,0.35,0.88,thin,thin,
545,0.42,0.625,fat,fat,
546,0.65,0.8,fat,fat,
547,0.59,0.815,normal,normal,
548,0.71,0.8,fat,fat,
549,0.43,0.775,thin,thin,
550,0.4,0.99,thin,thin,
551,0.58,0.83,normal,normal,
552,0.55,0.92,thin,thin,
553,0.57,0.89,thin,thin,
554,0.4,0.635,normal,normal,
555,0.5,0.615,fat,fat,
556,0.44,0.61,fat,fat,
557,0.52,0.95,thin,thin,
558,0.41,0.765,thin,thin,
559,0.47,0.885,thin,thin,
560,0.58,0.645,fat,fat,
561,0.73,0.665,fat,fat,
562,0.64,0.985,thin,thin,
563,0.71,0.89,normal,normal,
564,0.56,0.945,thin,thin,
565,0.37,0.785,thin,thin,
566,0.52,0.635,fat,fat,
567,0.56,0.985,thin,thin,
568,0.62,0.73,fat,fat,
569,0.64,0.76,fat,fat,
570,0.56,0.68,fat,fat,
571,0.42,0.875,thin,thin,
572,0.38,0.96,thin,thin,
573,0.44,0.76,normal,normal,
574,0.35,0.62,normal,normal,
575,0.62,0.86,normal,normal,
576,0.61,0.81,normal,normal,
577,0.45,0.71,normal,normal,
578,0.64,0.8,normal,normal,
579,0.36,0.62,normal,normal,
580,0.78,0.855,fat,fat,
581,0.7,0.815,fat,fat,
582,0.61,0.98,thin,thin,
583,0.69,0.94,normal,normal,
584,0.54,0.855,thin,thin,
585,0.73,0.835,fat,fat,
586,0.48,0.88,thin,thin,
587,0.55,0.84,normal,normal,
588,0.41,0.905,thin,thin,
589,0.74,0.73,fat,fat,
590,0.56,0.795,normal,normal,
591,0.6,0.795,normal,normal,
592,0.59,0.91,thin,thin,
593,0.6,0.945,thin,thin,
594,0.5,0.945,thin,thin,
595,0.68,0.67,fat,fat,
596,0.69,0.775,fat,fat,
597,0.61,0.725,fat,fat,
598,0.64,0.865,normal,normal,
599,0.59,0.62,fat,fat,
600,0.67,0.99,thin,thin,
601,0.41,0.965,thin,thin,
602,0.79,1,normal,normal,
603,0.69,0.89,normal,normal,
604,0.58,0.74,fat,fat,
605,0.78,0.605,fat,fat,
606,0.48,0.625,fat,fat,
607,0.51,0.895,thin,thin,
608,0.67,0.675,fat,fat,
609,0.49,0.9,thin,thin,
610,0.77,0.7,fat,fat,
611,0.36,0.985,thin,thin,
612,0.7,0.61,fat,fat,
613,0.44,0.965,thin,thin,
614,0.78,0.76,fat,fat,
615,0.7,0.895,normal,normal,
616,0.45,0.735,normal,normal,
617,0.42,0.615,fat,fat,
618,0.58,0.925,thin,thin,
619,0.41,0.95,thin,thin,
620,0.59,0.99,thin,thin,
621,0.36,0.72,thin,thin,
622,0.5,0.855,thin,thin,
623,0.43,0.875,thin,thin,
624,0.5,1,thin,thin,
625,0.72,0.73,fat,fat,
626,0.43,0.885,thin,thin,
627,0.54,0.775,normal,normal,
628,0.61,0.945,thin,thin,
629,0.52,0.67,fat,fat,
630,0.59,0.81,normal,normal,
631,0.73,0.65,fat,fat,
632,0.59,0.67,fat,fat,
633,0.35,0.66,normal,normal,
634,0.76,0.6,fat,fat,
635,0.59,0.67,fat,fat,
636,0.64,0.995,thin,thin,
637,0.77,0.855,fat,fat,
638,0.62,0.835,normal,normal,
639,0.39,0.935,thin,thin,
640,0.62,0.885,normal,normal,
641,0.65,0.64,fat,fat,
642,0.6,0.935,thin,thin,
643,0.54,0.72,fat,fat,
644,0.61,0.975,thin,thin,
645,0.38,0.705,normal,normal,
646,0.65,0.665,fat,fat,
647,0.73,0.755,fat,fat,
648,0.63,0.705,fat,fat,
649,0.35,0.925,thin,thin,
650,0.61,0.71,fat,fat,
651,0.71,0.8,fat,fat,
652,0.72,0.99,thin,normal,
653,0.8,0.79,fat,fat,
654,0.7,0.775,fat,fat,
655,0.65,0.755,fat,fat,
656,0.37,0.905,thin,thin,
657,0.44,0.81,thin,thin,
658,0.39,0.63,normal,normal,
659,0.72,0.69,fat,fat,
660,0.78,0.61,fat,fat,
661,0.54,0.845,normal,normal,
662,0.59,0.81,normal,normal,
663,0.54,0.92,thin,thin,
664,0.72,0.84,fat,fat,
665,0.36,0.755,thin,thin,
666,0.79,0.805,fat,fat,
667,0.65,0.75,fat,fat,
668,0.4,0.77,thin,thin,
669,0.63,0.915,normal,normal,
670,0.61,0.92,thin,thin,
671,0.45,0.665,fat,fat,
672,0.5,0.65,fat,fat,
673,0.44,0.98,thin,thin,
674,0.65,0.83,normal,normal,
675,0.56,0.96,thin,thin,
676,0.47,0.745,normal,normal,
677,0.44,0.85,thin,thin,
678,0.71,0.82,fat,fat,
679,0.41,0.88,thin,thin,
680,0.35,0.76,thin,thin,
681,0.73,0.935,normal,normal,
682,0.59,0.69,fat,fat,
683,0.73,0.97,normal,normal,
684,0.6,1,thin,thin,
685,0.35,0.795,thin,thin,
686,0.39,0.96,thin,thin,
687,0.54,0.72,fat,fat,
688,0.36,0.815,thin,thin,
689,0.57,0.61,fat,fat,
690,0.46,0.87,thin,thin,
691,0.5,0.995,thin,thin,
692,0.61,0.725,fat,fat,
693,0.37,0.96,thin,thin,
694,0.76,0.745,fat,fat,
695,0.47,0.785,normal,normal,
696,0.59,0.78,normal,normal,
697,0.43,0.64,fat,fat,
698,0.65,0.61,fat,fat,
699,0.7,0.68,fat,fat,
700,0.7,0.645,fat,fat,
701,0.63,0.875,normal,normal,
702,0.58,0.865,normal,normal,
703,0.6,0.83,normal,normal,
704,0.58,0.7,fat,fat,
705,0.45,0.715,normal,normal,
706,0.5,0.66,fat,fat,
707,0.53,0.825,normal,normal,
708,0.36,0.85,thin,thin,
709,0.38,0.655,normal,normal,
710,0.37,0.965,thin,thin,
711,0.39,0.765,thin,thin,
712,0.8,0.945,normal,normal,
713,0.64,0.695,fat,fat,
714,0.37,0.735,thin,thin,
715,0.77,0.695,fat,fat,
716,0.55,0.64,fat,fat,
717,0.7,0.665,fat,fat,
718,0.67,0.64,fat,fat,
719,0.72,0.985,normal,normal,
720,0.41,0.815,thin,thin,
721,0.64,0.795,fat,fat,
722,0.54,0.66,fat,fat,
723,0.73,0.86,normal,normal,
724,0.46,0.685,normal,normal,
725,0.42,0.67,normal,normal,
726,0.5,0.845,thin,thin,
727,0.77,0.71,fat,fat,
728,0.4,0.91,thin,thin,
729,0.51,0.71,fat,fat,
730,0.53,0.735,normal,normal,
731,0.58,0.88,normal,normal,
732,0.8,0.985,normal,normal,
733,0.76,0.865,fat,fat,
734,0.43,0.915,thin,thin,
735,0.51,0.705,fat,fat,
736,0.68,0.795,fat,fat,
737,0.35,0.97,thin,thin,
738,0.59,0.99,thin,thin,
739,0.69,0.925,normal,normal,
740,0.45,0.795,thin,thin,
741,0.5,0.695,fat,fat,
742,0.5,0.835,thin,thin,
743,0.8,0.625,fat,fat,
744,0.41,0.92,thin,thin,
745,0.56,0.965,thin,thin,
746,0.55,0.935,thin,thin,
747,0.78,0.685,fat,fat,
748,0.6,0.82,normal,normal,
749,0.8,0.905,normal,normal,
750,0.64,0.975,thin,thin,
751,0.59,0.975,thin,thin,
752,0.65,0.61,fat,fat,
753,0.38,0.94,thin,thin,
754,0.74,0.975,normal,normal,
755,0.48,0.985,thin,thin,
756,0.67,0.785,fat,fat,
757,0.62,0.815,normal,normal,
758,0.6,1,thin,thin,
759,0.53,0.655,fat,fat,
760,0.65,0.855,normal,normal,
761,0.72,0.805,fat,fat,
762,0.61,0.94,thin,thin,
763,0.7,0.725,fat,fat,
764,0.35,0.775,thin,thin,
765,0.6,0.695,fat,fat,
766,0.48,0.6,fat,fat,
767,0.7,0.81,fat,fat,
768,0.62,0.755,fat,fat,
769,0.66,0.7,fat,fat,
770,0.74,0.865,normal,normal,
771,0.36,0.605,normal,normal,
772,0.74,0.73,fat,fat,
773,0.56,0.635,fat,fat,
774,0.57,0.87,normal,normal,
775,0.68,0.85,normal,normal,
776,0.63,0.88,normal,normal,
777,0.51,0.7,fat,fat,
778,0.38,0.97,thin,thin,
779,0.66,0.61,fat,fat,
780,0.45,0.93,thin,thin,
781,0.46,0.895,thin,thin,
782,0.43,0.79,thin,thin,
783,0.77,0.82,fat,fat,
784,0.73,0.71,fat,fat,
785,0.52,0.63,fat,fat,
786,0.77,0.965,normal,normal,
787,0.67,0.935,normal,normal,
788,0.39,0.69,normal,normal,
789,0.67,0.975,thin,thin,
790,0.63,0.875,normal,normal,
791,0.65,0.875,normal,normal,
792,0.49,0.715,normal,normal,
793,0.55,0.78,normal,normal,
794,0.5,0.6,fat,fat,
795,0.57,0.6,fat,fat,
796,0.73,0.68,fat,fat,
797,0.41,0.68,normal,normal,
798,0.44,0.795,thin,thin,
799,0.39,0.985,thin,thin,
800,0.62,0.82,normal,normal,
801,0.44,1,thin,thin,
802,0.35,0.735,thin,thin,
803,0.73,0.615,fat,fat,
804,0.77,0.655,fat,fat,
805,0.63,0.78,fat,fat,
806,0.61,0.785,normal,normal,
807,0.58,0.935,thin,thin,
808,0.43,0.605,fat,fat,
809,0.58,0.735,fat,fat,
810,0.72,0.69,fat,fat,
811,0.58,0.92,thin,thin,
812,0.7,0.635,fat,fat,
813,0.7,0.77,fat,fat,
814,0.54,0.985,thin,thin,
815,0.59,0.93,thin,thin,
816,0.47,0.945,thin,thin,
817,0.4,0.865,thin,thin,
818,0.35,0.975,thin,thin,
819,0.6,0.73,fat,fat,
820,0.55,0.8,normal,normal,
821,0.44,0.735,normal,normal,
822,0.63,0.845,normal,normal,
